Title,Business Line,Description
Trade Simply,Knowledge Business,"Staying up-to-date with the constantly evolving trade regulations is critical to our customers success abroad. These ever-changing rules and requirements can be complex, overwhelming, and pose a barrier to successfully deliver products to any market. Introducing Trade Simply, powered by EHH. Our latest knowledge solution can distill the dynamic trade regulations into accessible and actionable insights, empowering our customers and our internal advisors with the confidence to navigate them effectively. 

To enhance the EHH experience, we will primarily rely on text-based generative content. It will focus on generating robust text content centered on key inputs provided by either the customer or our advisors to in turn generate a well-rounded trade report. These can be used by our customers to make informed decisions by leveraging the provided regulatory, market intelligence and key product information. It will also be used by our advisors to accelerate the delivery of customized answers and reports and reduce the amount of research required.  

The biggest impact will be on Export Help Hub (evolve the significantly), KB & IBA advisory teams 

This will be a new feature within EHH where the product will leverage expertly crafted prompts (context to be given to a generative AI solution) to help generate the desired content straight to our customers: 

Customers will provide key words and data (market, industry, etc..) to help fill in the prompt that will be sent to the generative AI service. 

Once we have the above information, the prompts will contain one or several phrases constructed by our team where Export Help Hub will send it to the generative AI service. By supplying the prompts to the generative AI service, we will leverage the generated information in Export Help Hub to produce a report that will contain key market knowledge, customs and regulatory information and HS codes, among other key pieces of information. 

We will also have an internal tool for our advisory teams to aid in research and generating custom answers for our customers that have asked trade related questions through Export Help HubÃ¢â‚¬â„¢s ask an advisor feature. This internal tool will contain much of the same technology by leveraging inputs from the advisor and prompts created. 

If customer self-serve generated reports/answers poses an issue or risk, we can mitigate this in several ways where we can introduce employee supervision before the content is shared with the customer.  

Disclaimers can be easily added to all generated reports/answers in Export Help Hub and through any advisory customized answers that are provided to the customer. 

We will put in place strict guidelines on how we engineer the prompts
Problems solved: Address opportunities both for our customers and for our internal employees by: 

Accelerating the delivery of robust market, customs, regulatory and industry reports for our customers Ã¢â‚¬â€œ they can be produced and generated (with little to no oversight) at any time, for any market and for as many times without significantly impacting internal capacity.  

Significantly reducing the research and drafting time needed for our advisors to produce customized answers and strategy reports for customers Ã¢â‚¬â€œ from days to minutes.  

Supercharging and equipping our advisors with the knowledge they may not possess or may take a long time to acquire, increasing our competitive advantage. 

Evolving how we draft, publish and maintain trade answers for our customers."
Trade Simply Internal,KB,"- This will be an internal product/tool built by Knowledge Business that will enable the following: 

Knowledge teams will have access to generate new prompts or leverage existing prompts deemed useful to begin their research.  

Knowledge teams will be focusing on generating keywords and prompts that answer or cover the most common topics for customers instead of relying on open ended search. 

Knowledge teams will be able to leverage the generated text from the above research and prompts to be provided in the answers and mandates to customers. 

Knowledge teams will have a review procedure to ensure the information generated is accurate and can be sent to a customer. 

Knowledge teams will be able to Investigate how we can limit the source of data that the GenAI model relies on to only public / tier 1 data as per our research tier guidelines which already exist. 

Disclaimers can be easily added so that the customer is aware that weÃ¢â‚¬â„¢re leveraging GenAI.
Problems solved: 1. For our KB Knowledge team Ã¢â‚¬â€œ it takes on average 4Ã¢â‚¬â€œ5 hours and to research, draft and send an answer to a customer thatÃ¢â‚¬â„¢s received from an Export Help Hub navigational request. 

2. For our IBA Knowledge team Ã¢â‚¬â€œ it takes on average 15Ã¢â‚¬â€œ20+ hours to research, draft and send a mandate to a customer thatÃ¢â‚¬â„¢s received from an internal medium segment request. 

3. WeÃ¢â‚¬â„¢re looking to supercharge and equipe our internal knowledge teams with a robust internal product/tool built by Knowledge Business to accelerate and optimize the research performed including the ability to quickly draft an answer for a customer. 

4. By using this product/tool, weÃ¢â‚¬â„¢ll be able to fine tune and build out prompts, understand if we can limit the information and models to certain sources, understand how hallucinations behave and 

5. Ultimately, to better learn how we can turn this into a customer facing solution."
Trend Identification for Internal Audit,Internal Audit,"We would like to use CoPilot to help identify trends amongst audit findings and root causes to enhance reporting provided by Internal Audit. Beneficiaries will be users of audit reporting (e.g. management and the Audit Committee.
Problems solved: We would like to use CoPilot to identify trends amongst audit findings and root causes. This information, once reviewed, could inform some of our reporting."
Underwriting Knowledge Assistant,Risk & Audit,Guides underwriters with contextual recommendations.
Use Copilot Web to convert functional automated tests to Robot Framework,DevSecOps Squad,"Since the use of Copilot is new at EDC, I just want to have more eyes on what I intend to do with an already available feature:  Copilot Web.  For Copilot to provide good conversion we need to provide good context.  Which means, in addition to the tests to be converted, we need to provide the code the tests refers to, examples of converted tests and also the code those refer to.  After converting all the test the entire test solution will have been sent as context.  So I would proceed as follow:
1) Sanitize the test project (remove all confidential data)
2) Use a script to concatenate in a single text file all the code files of the project to be converted.
3) Do the same with the converted tests examples and the referenced code and add those to the same file.
4) Add some additional conversion instructions.
-> Which would all fit within 50 mb (max size).
5) Use that file as context for every query to convert a given test. 
6) The output is reviewed and refactored to be integrated into the converted test solution.

What would be the non-public information we would provide to Copilot?  The steps and non-confidential data of the functional automated tests might provide indirectly its business rules, limits, partial data structures, etc.
Problems solved: We are currently converting all EDC functional automated tests to Robot Framework.  We have a script to help doing the conversion, but the result in nothing compared to what we can get with Copilot when given the right context.  I estimate this saves us 6 month of work (one person)."
"Use Gen-AI to help provide company assessments. This is not a net new idea, but an attempt to leverage external tools - either CB Insights or Alphasense - as a search engine (which may themselves leverage AI) to help with investments due diligence",mid-market and analytics group,"Use cases include:

Ã¢â‚¬Â¢	Ability to provide private and public company assessments (both qualitative and quantitative)
Ã¢â‚¬Â¢	Ability to mine private, public and M&A deal activities
Ã¢â‚¬Â¢	Financial data summarization and assessment
Ã¢â‚¬Â¢	Market, competitive and environmental scans related to private, public and industry domains
Ã¢â‚¬Â¢	Summarized deals, transactions and industry reports (in generated memo and/or downloadable reports)
Ã¢â‚¬Â¢	Access to industry research and expert opinion
Ã¢â‚¬Â¢	Access to private and public data, available through AI powered search engines
Problems solved: EDCÃ¢â‚¬â„¢s mid-market and analytics groups are open to investigating various ways in which we can reduce research time, streamline due diligence and deal assessments, and provide deeper investment and industry analytics. GenAI is one opportunity which we would like to further investigate to determine if itÃ¢â‚¬â„¢s suitable for our current needs."
Use Generative AI to assist financial statements reporting,Enterprise Analytics and Forecasting,"The financial statement/report is based on observations from historical and current finance data with the knowledge of financial planning team. Some of the financial statement is comments based on the observations, which potentially can be generated by Gen AI. If Gen AI can be used as an assistant, it will improve the process.
Problems solved: Currently, it is a lengthy process for Financial Planning & Analysis team in EAF to produce the financial statement/reports. We'd like to explore if Generative AI can assist the process and improve it."
using Gen AI features in embedded in Adobe Creative Suite (ie in Photoshop) plus Gen AI web app Firefly (which is included in Creative Suite subscription),Marketing,"We already have the license to use all these tools (some are features within a graphic design software like Adobe Photoshop or Canva web app) and some are dedicated image generation tools (Adobe Firefly web app).

The ask is if we can use Gen AI for 
1) full image, or 
2) partial image generation 
Through:
1) Features embedded in Adobe Photoshop and Illustrator
2) Adobe Firefly web app
3) Features embedded in Canva

Anyone in Marketing who needs to work with images will benefit: Content COE, Social, Email and Brand teams. And they would use for generating full or partial images for webpage banners, partner promo packages, social media posts, emails, and ads.
Problems solved: I spend a lot of time sourcing images for aritcles and landing pages for edc.ca.
One of my pain points is finding images that are on-brand, targets the Canadian exporter audience and conveys the messages of the article. I source these images from Getty Images, but often times I don't find exactly what the author is looking for that meets the above requirements.

For example: I'm looking for an image to go with a TradeInsights article on doing business in Korea. I find a perfect picture of a business district in Seoul, but the main person standing in the image looks like a tourist, with Gen AI's help I can remove the tourist and ask it to generate an Asian business woman instead. This way I have an image related to the article, matches EDC's image standards, and targets our exporter audience). 

So, the idea is that Gen AI can help us tailor our images to reflect our target audience and match our brand guidelines."
UW Streamlining,IFG.,"The IFG has to review a lot of 3rd party generated documents, including the bank credit submissions.  Would use MS Copilot 365 to review these pages and summarize, and also to highlight key sections that have key words in them... breach, covenant violation, default...  Believe this can further help IFG to respond quicker to our customers.  Also given we are a multi-sector team, will help us gather relevant industry information to assist in our early alignment discussions and downstream underwriting."
Verifying completeness of customer FCKYC information,Knowledge Business,"Right now there is a manual step that reviews/confirms customer information that is included in structured data and supporting documentation for FCKYC onboarding (collected through MyEDC). Going through the supporting documenation to ensure that it captures the proof we require to identify directors and ultimate beneficial owners is a tedious process that requires time. We want explore the possibility of being able to quickly analyze the submitted document (that is currently being generated in a common structure as a PDF) and verify that there is sufficient supporting documentation (uploaded as unstructured data in different file formats) for any individuals that have been identified as directors and ultimate beneficial owners. Understanding if and what information is missing as quickly as possible will allow internal teams (e.g. RMs, CIM, sales ops) to quickly go back to the customer and reduce the likelihood of the transaction being delayed."
Workforce Succession Planning Agent,"People, Culture & HR",Maps skills and plans for future leadership needs.
